capital,date,humidity
Mexico City,2025-06-11,65
Mexico City,2025-06-12,77
Mexico City,2025-06-13,81
Mexico City,2025-06-14,76
Mexico City,2025-06-15,81
Mexico City,2025-06-16,83
Mexico City,2025-06-17,82
Mexico City,2025-06-18,84
Mexico City,2025-06-19,82
Mexico City,2025-06-20,84
Mexico City,2025-06-21,82
Mexico City,2025-06-22,86
Mexico City,2025-06-23,88
Mexico City,2025-06-24,81
Mexico City,2025-06-25,81
Mexico City,2025-06-26,82
Mexico City,2025-06-27,81
Pretoria,2025-06-11,59
Pretoria,2025-06-12,63
Pretoria,2025-06-13,61
Pretoria,2025-06-14,54
Pretoria,2025-06-15,69
Pretoria,2025-06-16,68
Pretoria,2025-06-17,63
Pretoria,2025-06-18,50
Pretoria,2025-06-19,53
Pretoria,2025-06-20,44
Pretoria,2025-06-21,29
Pretoria,2025-06-22,65
Pretoria,2025-06-23,59
Pretoria,2025-06-24,34
Pretoria,2025-06-25,48
Pretoria,2025-06-26,49
Pretoria,2025-06-27,45
Seoul,2025-06-11,53
Seoul,2025-06-12,50
Seoul,2025-06-13,54
Seoul,2025-06-14,63
Seoul,2025-06-15,68
Seoul,2025-06-16,88
Seoul,2025-06-17,76
Seoul,2025-06-18,66
Seoul,2025-06-19,55
Seoul,2025-06-20,95
Seoul,2025-06-21,90
Seoul,2025-06-22,78
Seoul,2025-06-23,76
Seoul,2025-06-24,73
Seoul,2025-06-25,84
Seoul,2025-06-26,86
Seoul,2025-06-27,84
Prague,2025-06-11,58
Prague,2025-06-12,55
Prague,2025-06-13,45
Prague,2025-06-14,44
Prague,2025-06-15,48
Prague,2025-06-16,74
Prague,2025-06-17,59
Prague,2025-06-18,54
Prague,2025-06-19,48
Prague,2025-06-20,44
Prague,2025-06-21,41
Prague,2025-06-22,37
Prague,2025-06-23,49
Prague,2025-06-24,50
Prague,2025-06-25,46
Prague,2025-06-26,55
Prague,2025-06-27,53
Ottawa,2025-06-11,70
Ottawa,2025-06-12,72
Ottawa,2025-06-13,64
Ottawa,2025-06-14,55
Ottawa,2025-06-15,53
Ottawa,2025-06-16,54
Ottawa,2025-06-17,70
Ottawa,2025-06-18,73
Ottawa,2025-06-19,80
Ottawa,2025-06-20,72
Ottawa,2025-06-21,64
Ottawa,2025-06-22,79
Ottawa,2025-06-23,71
Ottawa,2025-06-24,75
Ottawa,2025-06-25,57
Ottawa,2025-06-26,45
Ottawa,2025-06-27,62
Sarajevo,2025-06-11,59
Sarajevo,2025-06-12,66
Sarajevo,2025-06-13,67
Sarajevo,2025-06-14,64
Sarajevo,2025-06-15,63
Sarajevo,2025-06-16,58
Sarajevo,2025-06-17,80
Sarajevo,2025-06-18,74
Sarajevo,2025-06-19,68
Sarajevo,2025-06-20,70
Sarajevo,2025-06-21,58
Sarajevo,2025-06-22,49
Sarajevo,2025-06-23,43
Sarajevo,2025-06-24,51
Sarajevo,2025-06-25,46
Sarajevo,2025-06-26,49
Sarajevo,2025-06-27,63
Doha,2025-06-11,54
Doha,2025-06-12,41
Doha,2025-06-13,32
Doha,2025-06-14,29
Doha,2025-06-15,30
Doha,2025-06-16,27
Doha,2025-06-17,28
Doha,2025-06-18,22
Doha,2025-06-19,26
Doha,2025-06-20,22
Doha,2025-06-21,27
Doha,2025-06-22,26
Doha,2025-06-23,20
Doha,2025-06-24,19
Doha,2025-06-25,20
Doha,2025-06-26,21
Doha,2025-06-27,26
Bern,2025-06-11,67
Bern,2025-06-12,69
Bern,2025-06-13,67
Bern,2025-06-14,66
Bern,2025-06-15,71
Bern,2025-06-16,81
Bern,2025-06-17,72
Bern,2025-06-18,69
Bern,2025-06-19,66
Bern,2025-06-20,62
Bern,2025-06-21,68
Bern,2025-06-22,54
Bern,2025-06-23,62
Bern,2025-06-24,56
Bern,2025-06-25,50
Bern,2025-06-26,64
Bern,2025-06-27,61
Brasília,2025-06-11,62
Brasília,2025-06-12,62
Brasília,2025-06-13,70
Brasília,2025-06-14,66
Brasília,2025-06-15,61
Brasília,2025-06-16,56
Brasília,2025-06-17,60
Brasília,2025-06-18,62
Brasília,2025-06-19,62
Brasília,2025-06-20,53
Brasília,2025-06-21,48
Brasília,2025-06-22,51
Brasília,2025-06-23,47
Brasília,2025-06-24,67
Brasília,2025-06-25,72
Brasília,2025-06-26,62
Brasília,2025-06-27,58
Rabat,2025-06-11,74
Rabat,2025-06-12,76
Rabat,2025-06-13,77
Rabat,2025-06-14,81
Rabat,2025-06-15,77
Rabat,2025-06-16,74
Rabat,2025-06-17,80
Rabat,2025-06-18,71
Rabat,2025-06-19,43
Rabat,2025-06-20,74
Rabat,2025-06-21,80
Rabat,2025-06-22,77
Rabat,2025-06-23,73
Rabat,2025-06-24,72
Rabat,2025-06-25,73
Rabat,2025-06-26,76
Rabat,2025-06-27,62
Port-au-Prince,2025-06-11,55
Port-au-Prince,2025-06-12,53
Port-au-Prince,2025-06-13,53
Port-au-Prince,2025-06-14,51
Port-au-Prince,2025-06-15,53
Port-au-Prince,2025-06-16,57
Port-au-Prince,2025-06-17,57
Port-au-Prince,2025-06-18,53
Port-au-Prince,2025-06-19,52
Port-au-Prince,2025-06-20,55
Port-au-Prince,2025-06-21,57
Port-au-Prince,2025-06-22,53
Port-au-Prince,2025-06-23,58
Port-au-Prince,2025-06-24,60
Port-au-Prince,2025-06-25,57
Port-au-Prince,2025-06-26,55
Port-au-Prince,2025-06-27,49
Edinburgh,2025-06-11,78
Edinburgh,2025-06-12,73
Edinburgh,2025-06-13,69
Edinburgh,2025-06-14,91
Edinburgh,2025-06-15,80
Edinburgh,2025-06-16,75
Edinburgh,2025-06-17,73
Edinburgh,2025-06-18,70
Edinburgh,2025-06-19,75
Edinburgh,2025-06-20,68
Edinburgh,2025-06-21,81
Edinburgh,2025-06-22,77
Edinburgh,2025-06-23,72
Edinburgh,2025-06-24,77
Edinburgh,2025-06-25,73
Edinburgh,2025-06-26,73
Edinburgh,2025-06-27,78
Washington DC,2025-06-11,63
Washington DC,2025-06-12,58
