country,fifa_ranking,fifa_points,equality_index
Argentina,1,1876.12,74.0
Spain,2,1874.71,83.0
France,3,1870.7,74.0
England,4,1827.05,68.0
Portugal,5,1766.18,77.0
Brazil,6,1765.86,75.0
Morocco,7,1755.1,13.0
Netherlands,8,1753.57,76.0
Belgium,9,1742.24,78.0
Germany,10,1735.77,80.0
Croatia,11,1714.87,57.0
Italy,12,1704.73,66.0
Colombia,13,1698.35,71.0
Mexico,14,1687.48,71.0
Senegal,15,1684.07,4.0
Uruguay,16,1673.07,87.0
United States,17,1671.23,68.0
Japan,18,1661.58,53.0
Switzerland,19,1650.06,70.0
Iran,20,1619.58,5.0
Denmark,21,1619.47,82.0
Türkiye,22,1605.73,32.0
Ecuador,23,1598.52,65.0
Austria,24,1597.4,73.0
South Korea,25,1591.63,46.0
Nigeria,26,1586.69,11.0
Australia,27,1579.34,78.0
Algeria,28,1571.03,13.0
Egypt,29,1562.37,10.0
Canada,30,1559.48,78.0
Norway,31,1557.44,88.0
Ukraine,32,1549.29,48.0
Ivory Coast,33,1540.87,23.0
Panama,34,1539.16,39.0
Russia,35,1529.6,29.0
Poland,36,1526.18,51.0
Wales,37,1516.95,68.0
Sweden,38,1509.79,75.0
Hungary,39,1506.39,49.0
Czechia,40,1505.74,72.0
Paraguay,41,1505.35,34.0
Scotland,42,1503.34,68.0
Serbia,43,1502.13,50.0
Cameroon,44,1481.24,7.0
Tunisia,45,1476.41,14.0
Congo DR,46,1474.43,21.0
Slovakia,47,1473.66,49.0
Greece,48,1473.19,66.0
Venezuela,49,1464.3,52.0
Uzbekistan,50,1458.73,20.0
Chile,51,1458.2,80.0
Peru,52,1457.69,54.0
Costa Rica,53,1457.0,69.0
Romania,54,1455.89,47.0
Mali,55,1455.59,8.0
Iraq,56,1451.15,13.0
Qatar,57,1450.31,8.0
Ireland,58,1441.1,70.0
Slovenia,59,1441.09,65.0
South Africa,60,1428.38,67.0
Saudi Arabia,61,1423.88,13.0
Burkina Faso,62,1406.99,9.0
Jordan,63,1387.74,17.0
Bosnia-Herzegovina,64,1387.22,50.0
Honduras,65,1378.97,46.0
Albania,66,1376.03,47.0
Cape Verde,67,1371.11,68.0
United Arab Emirates,68,1370.47,11.0
North Macedonia,69,1369.16,49.0
Northern Ireland,70,1365.3,68.0
Jamaica,71,1357.84,21.0
Georgia,72,1355.26,30.0
Ghana,73,1346.88,15.0
Iceland,74,1343.92,93.0
Finland,75,1341.92,76.0
Israel,76,1333.9,62.0
Bolivia,77,1326.0,62.0
Kosovo,78,1319.12,48.0
Oman,79,1306.9,3.0
Montenegro,80,1301.98,55.0
Guinea,81,1295.6,14.0
Curaçao,82,1294.77,76.0
Haiti,83,1293.1,28.0
Syria,84,1283.05,18.0
New Zealand,85,1275.58,81.0
Gabon,86,1272.51,23.0
Bulgaria,87,1271.68,42.0
Angola,88,1265.58,42.0
Uganda,89,1264.09,9.0
Zambia,90,1255.82,8.0
China,91,1254.81,56.0
Bahrain,92,1254.41,37.0
Benin,93,1252.17,28.0
Thailand,94,1250.8,65.0
Palestine,95,1243.71,18.0
Belarus,96,1242.88,27.0
Guatemala,97,1238.74,35.0
Luxembourg,98,1232.82,67.0
Vietnam,99,1225.68,51.0
El Salvador,100,1225.34,41.0
Tajikistan,101,1224.19,38.0
Trinidad and Tobago,102,1219.59,26.0
