country,womens_fifa_ranking,womens_elo
Spain,1,2105.36
United States,2,2057.92
Germany,3,2028.99
England,4,2027.13
Japan,5,1998.83
France,6,1983.84
Brazil,7,1976.73
Sweden,8,1937.94
Canada,9,1936.9
Netherlands,10,1911.75
North Korea,11,1910.63
Denmark,12,1910.2
Italy,13,1891.83
Norway,14,1878.52
Australia,15,1830.66
China,16,1799.13
Iceland,17,1792.32
Belgium,18,1786.01
South Korea,19,1780.68
Colombia,20,1775.96
Ireland,21,1769.74
Portugal,22,1751.11
Austria,23,1749.66
Finland,24,1744.99
Scotland,25,1743.49
Switzerland,26,1734.18
Russia,27,1718.14
Mexico,28,1715.13
Poland,29,1694.17
Argentina,30,1683.0
Wales,31,1668.82
New Zealand,32,1645.41
Czechia,33,1641.0
Ukraine,34,1634.21
Serbia,35,1633.9
Nigeria,36,1601.56
Vietnam,37,1593.71
Slovenia,38,1579.19
Philippines,39,1566.44
Chinese Taipei,40,1565.81
Jamaica,41,1550.17
Venezuela,42,1527.0
Costa Rica,43,1523.57
Paraguay,44,1511.01
Hungary,45,1506.51
Türkiye,46,1497.3
Haiti,47,1490.83
Chile,48,1487.0
Thailand,49,1485.04
Northern Ireland,50,1481.66
Uzbekistan,51,1474.15
Belarus,52,1473.09
Romania,53,1472.28
Slovakia,54,1467.43
Myanmar,55,1460.7
Panama,56,1457.45
South Africa,57,1451.15
Papua New Guinea,58,1450.33
Greece,59,1430.17
Ghana,60,1429.23
Ecuador,61,1418.82
Uruguay,62,1418.66
Croatia,63,1406.0
Morocco,64,1402.24
Zambia,65,1390.14
Israel,66,1382.64
Albania,67,1376.23
Iran,68,1370.37
India,69,1368.7
Bosnia-Herzegovina,70,1361.08
Cameroon,71,1358.15
Ivory Coast,72,1338.92
Peru,73,1331.32
Algeria,74,1318.95
Azerbaijan,75,1317.93
Jordan,76,1299.21
Puerto Rico,77,1294.95
El Salvador,78,1294.4
Senegal,79,1286.33
Fiji,80,1282.2
"Hong Kong, China",81,1280.53
Trinidad and Tobago,82,1269.08
Guatemala,83,1267.25
Mali,84,1263.53
Kosovo,85,1262.78
Montenegro,86,1250.2
Samoa,87,1246.84
Nepal,88,1238.74
Solomon Islands,89,1234.03
Equatorial Guinea,90,1229.6
Guyana,91,1217.37
Malta,92,1216.36
Dominican Republic,93,1211.22
Lithuania,94,1208.47
Malaysia,95,1208.12
Nicaragua,96,1205.13
Cuba,97,1204.21
Guam,98,1201.73
Egypt,99,1199.25
Kazakhstan,100,1199.11
Estonia,101,1198.56
Tunisia,102,1197.5
Faroe Islands,103,1187.0
New Caledonia,104,1184.36
Latvia,105,1179.91
Congo DR,106,1179.6
Bangladesh,107,1171.05
Vanuatu,108,1168.1
Bulgaria,109,1166.44
Indonesia,110,1162.58
Republic of the Congo,111,1161.03
Laos,112,1153.73
Bolivia,113,1153.64
Cambodia,114,1153.44
Luxembourg,115,1152.87
Tonga,116,1152.53
Bahrain,117,1146.97
Burkina Faso,118,1140.68
Moldova,119,1137.64
Cape Verde,120,1131.67
American Samoa,121,1130.42
Tanzania,122,1129.13
Tahiti,123,1127.92
United Arab Emirates,124,1126.67
Namibia,125,1124.29
Honduras,126,1115.28
Zimbabwe,127,1114.75
Kenya,128,1111.84
Palestine,129,1111.4
Lebanon,130,1100.95
Cook Islands,131,1099.76
Georgia,132,1098.68
Togo,133,1092.99
Gambia,134,1082.47
Cyprus,135,1076.22
North Macedonia,136,1075.2
Kyrgyzstan,137,1070.63
Ethiopia,138,1068.12
Benin,139,1066.55
Suriname,140,1065.77
Turkmenistan,141,1063.88
Bermuda,142,1053.17
Guinea,143,1048.64
Central African Republic,144,1045.87
Uganda,145,1036.27
Mongolia,146,1035.67
Armenia,147,1030.03
Botswana,148,1029.2
Gabon,149,1028.74
Saint Kitts and Nevis,150,1026.93
Singapore,151,1025.38
Sierra Leone,152,1021.39
Malawi,153,1018.89
Pakistan,154,1008.65
Angola,155,989.68
Chad,156,985.55
Timor-Leste,157,965.35
Saudi Arabia,158,960.38
Tajikistan,159,954.78
Saint Vincent and the Grenadines,160,947.14
Bhutan,161,933.09
Syria,162,931.42
Barbados,163,924.87
Saint Lucia,164,923.18
Sri Lanka,165,915.58
Iraq,166,910.49
Maldives,167,906.97
Belize,168,903.05
Rwanda,169,892.39
Dominica,170,884.73
Liberia,171,882.37
Grenada,172,878.19
Mozambique,173,874.79
Niger,174,863.94
Seychelles,175,849.52
Macau,176,846.53
Guinea-Bissau,177,838.58
Lesotho,178,836.43
Burundi,179,822.1
Curaçao,180,821.91
Andorra,181,816.8
Antigua and Barbuda,182,807.2
Aruba,183,801.27
Eswatini,184,797.06
US Virgin Islands,185,790.28
Cayman Islands,186,777.07
Comoros,187,745.47
Libya,188,739.94
Gibraltar,189,734.15
Liechtenstein,190,725.35
Madagascar,191,724.45
Anguilla,192,681.6
Bahamas,193,665.71
Sudan,194,628.74
South Sudan,195,628.66
Turks and Caicos Islands,196,627.14
Djibouti,197,556.64
Mauritius,198,433.66
